Ro,1000ppm Hydrogen,,,,,,Ro,1000ppm Hydrogen,,,,,,,,,,,,,,,,,,,,
MQ2,,,,,,,,,,,,200 ppm,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
AIR,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,,,MQ2,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,,,,,,,,,,
propane,1.75,1.1,0.9,0.8,0.6,0.5,0.39,0.28,,,Alcohol,2.9,4,3.6,8,15,25,NA,,,,,,,,,,
alcohol,2.9,2,1.8,1.7,1.3,1.1,0.9,0.66,,,CO,5,4.3,3.9,9,0.6,65,1.7,,,,,,,,,,
CO,5,4,3.5,3.1,2.5,2.1,1.9,1.5,,,CH4,3,1.8,0.95,2.6,13,55,3.08,,,,,,,,,,
CH4,3,2.3,1.9,1.8,1.4,1.2,0.95,0.7,,,LPG,1.7,2.7,0.7,2,7.4,32,2.1,,,,,,,,,,
LPG,1.7,1.1,0.86,0.8,0.58,0.47,0.37,0.26,,,H2,2,3.8,1.8,5.8,0.47,8.5,NA,,,,,,,,,,
H2,2,1.5,1.2,1,0.71,0.6,0.48,0.34,,,AIR,9.5,4.5,6.5,10,26,70,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ro = 1000 ppm CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
AIR,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,
CO,4.3,4,3.9,3.8,3.75,3.65,3.6,3.5,,,,,,,,,,,,,,,,,,,,
Alcohol,4,3.8,3.7,3.6,3.4,3.35,3.2,3.05,,,,,,,,,,,,,,,,,,,,
smoke,3.9,3.7,3.6,3.5,3.2,3.1,2.9,2.6,,,,,,,,,,,,,,,,,,,,
H2,3.8,3.3,2.99,2.9,2.5,2.4,2.1,1.9,,,,,,,,,,,,,,,,,,,,
LPG,2.7,2,1.6,1.6,1.3,1.1,0.9,0.75,,,,,,,,,,,,,,,,,,,,
CH4,1.8,1.4,1.1,1,0.79,0.7,0.56,0.45,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,20C,Humidity ,65%,O2,21%,,,,,,,,,,,,,,,,,,,,,,,
RL,20k,Ro,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
AIR,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,
CO,3.9,3.2,3,2.95,2.7,2.5,2.45,2.35,,,,,,,,,,,,,,,,,,,,
Alcohol,3.6,3,2.8,2.7,2.3,2.05,1.9,1.5,,,,,,,,,,,,,,,,,,,,
H2,1.8,1.3,1.1,1,0.83,0.78,0.74,0.68,,,,,,,,,,,,,,,,,,,,
CH4,0.95,0.74,0.56,0.51,0.4,0.35,0.29,0.2,,,,,,,,,,,,,,,,,,,,
LPG,0.7,0.49,0.4,0.36,0.28,0.24,0.19,0.155,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp 20C,O2 Conc. 21%,Ro= 1000 ppm LPG,,,,,,,,,,,,,,,,,,,,,,,,,,
Humidity 65%,RL 20K,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
AIR,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,
CO,9,8.5,8,7.8,7.5,7.3,7,6.5,,,,,,,,,,,,,,,,,,,,
Alcohol,8,7.1,6.4,6.1,5.5,5,4.7,4.3,,,,,,,,,,,,,,,,,,,,
H2,5.8,4.4,3.7,3.3,2.8,2.5,2.3,2.05,,,,,,,,,,,,,,,,,,,,
CH4,2.6,1.8,1.6,1.4,1.05,0.9,0.7,0.55,,,,,,,,,,,,,,,,,,,,
LPG,2,1.45,1.2,1,0.75,0.65,0.51,0.39,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,20C,Humidity,65%,O2,21%,,,,,,,,,,,,,,,,,,,,,,,
RL,10k,Ro,100ppm CO in clean air,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
Air,26,26,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,
Alcohol,15,14,13.5,13.5,13,13,NA,NA,,,,,,,,,,,,,,,,,,,,
CH4,13,12.5,12,12,10.5,9.5,NA,NA,,,,,,,,,,,,,,,,,,,,
LPG,7.4,6.7,6.1,6,5.5,5.25,NA,NA,,,,,,,,,,,,,,,,,,,,
CO,0.6,0.38,0.255,0.22,0.155,0.12,NA,NA,,,,,,,,,,,,,,,,,,,,
H2,0.47,0.28,0.175,0.15,0.088,0.0655,NA,NA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,20C,Humidity,65%,O2,21%,,,,,,,,,,,,,,,,,,,,,,,
RL,10k,Ro,1000ppm of H2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
Air,70,70,70,70,70,70,70,70,,,,,,,,,,,,,,,,,,,,
CO,65,62,60,58,49,44,41,40,,,,,,,,,,,,,,,,,,,,
CH4,55,48,46,44,40,37,32,29.5,,,,,,,,,,,,,,,,,,,,
LPG,32,26,21,20,17,16,15,14,,,,,,,,,,,,,,,,,,,,
Alcohol,25,16,12,11,7,5.2,4,2.3,,,,,,,,,,,,,,,,,,,,
H2,8.5,3.5,1.5,1,0.39,0.21,0.095,0.029,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,20C,Humidity,65%,O2,21%,,,,,,,,,,,,,,,,,,,,,,,
RL,10k,Ro,1000ppm LPG in clean air,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppm,200,400,800,1000,2000,3000,5000,10000,,,,,,,,,,,,,,,,,,,,
LPG,2.1,1.6,1.2,1,0.7,0.6,0.47,0.33,,,,,,,,,,,,,,,,,,,,
CO,1.7,1.25,0.86,0.8,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
CH4,3.08,2.6,1.9,1.8,1.5,1.25,0.93,0.7,,,,,,,,,,,,,,,,,,,,
AIR,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
